"","review_id","product_id","reviewer_id","stars","review_body","review_title","product_category","Class"
"1","es_0417480","product_es_0873923","reviewer_es_0672978",1,"Malisimo, muy grande demasiado aparatoso y mal protector de pantalla","Mala compra","wireless","negative"
"2","es_0180432","product_es_0713146","reviewer_es_0100858",1,"No he recibido el pedido no la devoluci\u00f3n","No lo he recibido","apparel","negative"
"3","es_0144850","product_es_0356874","reviewer_es_0486447",1,"Tengo que buscar otro sistema, este no funciona muy bien. La abrazadera que lleva para agarrar el manillar no aprieta bien sobre este, deslizando la linterna hacia abajo.","Que no aprieta bien en el manillar","sports","negative"
"4","es_0339629","product_es_0939832","reviewer_es_0894703",1,"Utilic\u00e9 las brocas de menor di\u00e1metro y se me doblaron varias como si fuesen de mantequilla, al hacer una m\u00ednima presi\u00f3n sobre ellas. Una vez dobladas, al intentar enderezarlas, se parten. Exteriormente son amarillas pero el interior es como de un fundido gris. La peor compra que he hecho en bastante tiempo.","Brocas de mantequilla","home_improvement","negative"
"5","es_0858362","product_es_0489066","reviewer_es_0887663",1,"No me gusta su olor a viejo y aspecto malo","No me gusta","beauty","negative"
"6","es_0729140","product_es_0286879","reviewer_es_0041024",1,"Hola, despu\u00e9s de recoger el paquete me ha llegado una bola rota.","Bolas rotas","home","negative"
"7","es_0475220","product_es_0313511","reviewer_es_0821388",1,"A parte de no poder elegir color, te envian el cesto de un color y el asa de otro, imagino que aprovechando los que se van rompiendo, porque dicen color aleatorio, pero en la foto, cesta y asa son del mismo color. Recomiendo comprarlo en donde se pueda elegir color. El \u00fanico alivio, es que se romper\u00e1 pronto, la calidad no es muy all\u00e1.","A parte de no poder elegir color...","home","negative"
"8","es_0288584","product_es_0468628","reviewer_es_0429329",1,"Muy baja calidad de ah\u00ed si precio. Esta compra supone tirar el dinero","Tapa pantalla","wireless","negative"
"9","es_0975526","product_es_0025866","reviewer_es_0294670",1,"El producto sale como entregado pero yo no he recibido nada.","NO HE RECIBIDO EL PRODUCTO","home_improvement","negative"
"10","es_0337413","product_es_0433801","reviewer_es_0475664",1,"No lo recomiendo, no se pega y acaba despegandose","Una patata.","wireless","negative"
"11","es_0304901","product_es_0001342","reviewer_es_0166938",1,"Se desliza hacia abajo todo el rato, y esta hecho de material de baja calidad. No lo recomiendo para nada","Se desliza hacia abajo todo el rato","baby_product","negative"
"12","es_0186980","product_es_0860685","reviewer_es_0929894",1,"Dos meses despu\u00e9s, no ha llegado nada, Amazon no se debe convertir en un mercadillo de vendedores de China","No comprar","home","negative"
"13","es_0831397","product_es_0051146","reviewer_es_0463988",1,"No funciona, no recoge absolutamente nada... no lo recomiendo en absoluto. Gasto de dinero innecesario","No recoge nada de nada","home","negative"
